,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,sites,std.sites,gamma,colless,sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf,std.gamma,std.colless,std.ingroup.colless
1,1,500000,raxml,0,0.25,0.01,EXT,REF,0_0_0,114417,0.145552776668202,-25.6115830307391,644,1220,1.00000050002909e-06,0.00120948715763654,0.00193164178539924,62,-25.3852555551916,710,1085,NA,NA,25514598.0954397,-20.3908109165642,198,363
2,1,500000,raxml,0,0.25,0.01,EXT,REF,0_0_0,114417,0.145552776668202,-25.6115830307391,644,1220,1.00000050002909e-06,0.00120948715763654,0.00193164178539924,62,-25.3852555551916,611,1182,95.1224489795918,13.5488922255145,25514598.0954397,-20.3908109165642,298,363
3,1,500000,raxml,0,0.25,0.02,EXT,REF,0_0_0,60429,0.0768732683192424,-27.265107240505,741,1173,0.000627425952212877,0.00159957686279816,0.00327737398004431,72,-26.9862239494915,571,1098,NA,NA,25514598.1594754,-22.0443351263301,293,321
4,1,500000,raxml,0,0.25,0.02,EXT,REF,0_0_0,60429,0.0768732683192424,-27.265107240505,741,1171,0.000627425952212877,0.00159957686279816,0.00327737398004431,72,-26.9862239494915,666,1096,85.8979591836735,25.477092923514,25514598.1594754,-22.0443351263301,197,319
5,1,500000,raxml,0,0.25,0.03,EXT,REF,0_0_0,34289,0.0436199092720135,-26.925406222772,580,1164,1.00000050002909e-06,0.00202623234186823,0.00504520150351859,92,-26.7208903432593,544,1028,NA,NA,25514598.3125092,-21.7046341085972,234,197
6,1,500000,raxml,0,0.25,0.03,EXT,REF,0_0_0,34289,0.0436199092720135,-26.925406222772,680,1164,1.00000050002909e-06,0.00202623234186823,0.00504520150351859,92,-26.7208903432593,643,1125,80.1632653061225,31.3269074677967,25514598.3125092,-21.7046341085972,234,197
7,1,500000,raxml,0,0.25,0.04,EXT,REF,0_0_0,18202,0.0231552272906527,-25.7035607773763,608,1192,1.00000050002909e-06,0.00255891167319949,0.00608941543218295,110,-25.5243700501375,572,1153,NA,NA,25514598.3731069,-20.4827886632015,262,324
8,1,500000,raxml,0,0.25,0.04,EXT,REF,0_0_0,18202,0.0231552272906527,-25.7035607773763,708,1192,1.00000050002909e-06,0.00255891167319949,0.00608941543218295,110,-25.5243700501375,671,1153,70.4795918367347,33.88069717507,25514598.3731069,-20.4827886632015,262,324
9,1,500000,raxml,0,0.25,0.05,EXT,REF,0_0_0,14073,0.0179026213416853,-27.2354696008568,494,984,1.00000050002909e-06,0.00297357245833184,0.00764771067788149,104,-26.9584393386571,482,968,NA,NA,25514598.3741931,-22.014697486682,46,133
10,1,500000,raxml,0,0.25,0.05,EXT,REF,0_0_0,14073,0.0179026213416853,-27.2354696008568,494,986,1.00000050002909e-06,0.00297357245833184,0.00764771067788149,104,-26.9584393386571,482,968,60.0510204081633,39.6027626988449,25514598.3741931,-22.014697486682,48,38
11,1,500000,raxml,0,0.25,0,EXT,REF,0_0_0,465477,0.592145134247398,-31.3815278964172,710,1158,0.000670886028445179,0.000366833096166471,0.000335912322685099,60,-31.0821688588189,647,1093,NA,NA,25514597.9487609,-26.1607557822424,269,211
12,1,500000,raxml,0,0.25,0,EXT,REF,0_0_0,465477,0.592145134247398,-31.3815278964172,710,1158,0.000670886028445179,0.000366833096166471,0.000335912322685099,60,-31.0821688588189,652,1098,91.2755102040816,19.0981084032521,25514597.9487609,-26.1607557822424,264,300
13,1,500000,raxml,0,0.5,0.01,EXT,REF,0_0_0,112726,0.14340161254621,-27.1233790375305,582,1066,1.00000050002909e-06,0.00121079903206864,0.00193939143382031,58,-26.8973633614614,546,1028,NA,NA,25514598.1265536,-21.9026069233556,136,107
14,1,500000,raxml,0,0.5,0.01,EXT,REF,0_0_0,112726,0.14340161254621,-27.1233790375305,575,1066,1.00000050002909e-06,0.00121079903206864,0.00193939143382031,58,-26.8973633614614,454,1028,94.9489795918367,14.609961612868,25514598.1265536,-21.9026069233556,136,107
15,1,500000,raxml,0,0.5,0.02,EXT,REF,0_0_0,59919,0.0762244843439522,-27.2041230436429,584,1066,1.00000050002909e-06,0.00160339759738419,0.00329838590098551,76,-26.9843905655143,541,938,NA,NA,25514598.2416008,-21.9833509294681,45,109
16,1,500000,raxml,0,0.5,0.02,EXT,REF,0_0_0,59919,0.0762244843439522,-27.2041230436429,577,975,1.00000050002909e-06,0.00160339759738419,0.00329838590098551,76,-26.9843905655143,456,1021,85.8775510204082,25.7530962230698,25514598.2416008,-21.9833509294681,131,109
17,1,500000,raxml,0,0.5,0.03,EXT,REF,0_0_0,34133,0.0434214577031012,-26.9222855604953,675,1161,1.00000050002909e-06,0.00202586965075922,0.00504446127639785,80,-26.7177368058149,539,1122,NA,NA,25514598.3146223,-21.7015134463204,229,291
