,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,refdist,sites,std.sites,gamma,colless,sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf,std.gamma,std.colless,std.ingroup.colless
1,3,500000,raxml,0,0.25,0.01,EXT,NOREF,0_0_0,0.181249,102080,0.0969678547002052,-23.7949806988673,553,1122,1.00000050002909e-06,0.000971140776573264,0.00157190216867094,58,-23.7949806988673,553,1122,NA,NA,23863577.7655211,-18.2743203620577,150,150
2,3,500000,raxml,0,0.25,0.01,EXT,REF,0_0_0,0.181249,102398,0.0972699293259366,-25.7361222851188,630,1004,1.00000050002909e-06,0.000945807319552121,0.00151605432875155,60,-25.5007418340658,562,935,NA,NA,34363577.7896007,-26.8300073144687,128,159
3,3,500000,raxml,0,0.25,0.01,EXT,NOREF,0_0_0,0.181249,102080,0.0969678547002052,-23.7949806988673,648,1029,1.00000050002909e-06,0.000971140776573264,0.00157190216867094,58,-23.7949806988673,650,1122,92.6082474226804,19.0976420343318,23863577.7655211,-18.2743203620577,150,247
4,3,500000,raxml,0,0.25,0.01,EXT,REF,0_0_0,0.181249,102398,0.0972699293259366,-25.7361222851188,530,1102,1.00000050002909e-06,0.000945807319552121,0.00151605432875155,60,-25.5007418340658,562,1032,92.5510204081633,19.7218401354812,34363577.7896007,-26.8300073144687,128,159
5,3,500000,raxml,0,0.25,0.02,EXT,NOREF,0_0_0,0.181249,46753,0.0444116194239684,-23.9900311624051,543,1001,1.00000050002909e-06,0.00114994133469313,0.00240910150602649,66,-23.9900311624051,543,1094,NA,NA,23863577.8710107,-18.4693708255954,235,140
6,3,500000,raxml,0,0.25,0.02,EXT,REF,0_0_0,0.181249,46992,0.0446386503533703,-25.9373435130058,631,1003,1.00000050002909e-06,0.00116654538130571,0.00242759487655748,66,-25.6454299334832,540,1004,NA,NA,34363577.8766986,-27.0312285423557,37,46
7,3,500000,raxml,0,0.25,0.02,EXT,NOREF,0_0_0,0.181249,46753,0.0444116194239684,-23.9900311624051,640,1096,1.00000050002909e-06,0.00114994133469313,0.00240910150602649,66,-23.9900311624051,638,1096,85.0309278350515,28.1593137375864,23863577.8710107,-18.4693708255954,140,235
8,3,500000,raxml,0,0.25,0.02,EXT,REF,0_0_0,0.181249,46992,0.0446386503533703,-25.9373435130058,631,1003,1.00000050002909e-06,0.00116654538130571,0.00242759487655748,66,-25.6454299334832,449,911,86.1530612244898,25.4839152993786,34363577.8766986,-27.0312285423557,129,46
9,3,500000,raxml,0,0.25,0.03,EXT,NOREF,0_0_0,0.181249,27708,0.0263203890873167,-23.5541557538957,750,1202,1.00000050002909e-06,0.00140493888338776,0.00337302205278538,94,-23.5541557538957,651,1202,NA,NA,23863577.9166496,-18.033495417086,347,347
10,3,500000,raxml,0,0.25,0.03,EXT,REF,0_0_0,0.181249,27708,0.0263203890873167,-25.0115543518985,785,1135,1.00000050002909e-06,0.00141581396949825,0.00339838357655156,100,-24.8097949856473,617,1162,NA,NA,34363577.8276569,-26.1054393812485,283,313
