sim tree_height int taxa_ref avg_dist
6 500000 INT 68_0_0 0.0201471
6 500000 EXT 0_0_0 0.187289
7 500000 EXT 0_0_0 0.174867
8 500000 INT 66_0_0 0.0197863
7 500000 INT 77_0_0 0.0240627
10 500000 INT 94_0_0 0.0204098
9 500000 EXT 0_0_0 0.191143
9 500000 INT 93_0_0 0.0219147
10 500000 EXT 0_0_0 0.186284
8 500000 EXT 0_0_0 0.181642
6 2000000 EXT 0_0_0 0.196207
6 2000000 INT 18_0_0 0.0207069
7 2000000 INT 48_0_0 0.0206882
7 2000000 EXT 0_0_0 0.205548
8 2000000 INT 93_0_0 0.0226765
8 2000000 EXT 0_0_0 0.215395
9 2000000 INT 79_0_0 0.0190118
9 2000000 EXT 0_0_0 0.179188
10 2000000 EXT 0_0_0 0.211433
7 10000000 EXT 0_0_0 0.237038
10 2000000 INT 10_0_0 0.0240598
7 10000000 INT 33_0_0 0.0232676
6 10000000 INT 32_0_0 0.0275863
8 10000000 INT 82_0_0 0.0215088
6 10000000 EXT 0_0_0 0.219767
8 10000000 EXT 0_0_0 0.231427
9 10000000 INT 5_0_0 0.0221196
10 10000000 EXT 0_0_0 0.221715
10 10000000 INT 24_0_0 0.021048
9 10000000 EXT 0_0_0 0.217143
sim tree_height int taxa_ref avg_dist
1 500000 INT 53_0_0 0.0167098
2 500000 EXT 0_0_0 0.17758
1 500000 EXT 0_0_0 0.175064
2 500000 INT 4_0_0 0.019499
3 500000 INT 65_0_0 0.0189784
3 500000 EXT 0_0_0 0.181249
4 500000 INT 73_0_0 0.0201
4 500000 EXT 0_0_0 0.185584
5 500000 EXT 0_0_0 0.179045
5 500000 INT 12_0_0 0.0202127
1 2000000 EXT 0_0_0 0.185715
1 2000000 INT 95_0_0 0.0190235
2 2000000 EXT 0_0_0 0.188798
2 2000000 INT 40_0_0 0.021099
3 2000000 EXT 0_0_0 0.184981
4 2000000 INT 44_0_0 0.0205549
3 2000000 INT 40_0_0 0.0207304
5 2000000 EXT 0_0_0 0.213759
4 2000000 EXT 0_0_0 0.187978
5 2000000 INT 41_0_0 0.0226284
1 10000000 EXT 0_0_0 0.213791
4 10000000 EXT 0_0_0 0.212525
2 10000000 INT 14_0_0 0.024701
2 10000000 EXT 0_0_0 0.224935
1 10000000 INT 22_0_0 0.0220088
3 10000000 EXT 0_0_0 0.208096
3 10000000 INT 51_0_0 0.0213686
4 10000000 INT 81_0_0 0.0224902
5 10000000 INT 82_0_0 0.0249216
5 10000000 EXT 0_0_0 0.234563
3 10000000 INT 36_0_0 0.0218167
1 2000000 EXT 0_0_0 0.183815
1 500000 EXT 0_0_0 0.176708
4 10000000 EXT 0_0_0 0.209527
4 2000000 EXT 0_0_0 0.182575
1 10000000 INT 7_0_0 0.0241863
3 10000000 INT 40_0_0 0.0212922
4 10000000 EXT 0_0_0 0.204775
