,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,snps,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
1,776,1,Cichlids,astral,40,0,0,EXT,REF,0.264785,434129,0.979791666666667,0.0839323330119132,0.507944736363102,1.02389061915812,0.859387580981896,1.49906637611548
2,237,1,Cichlids,astral,40,0,0,INT,REF,0.217217,530868,0.9875,0.062279397911792,0.507944736363102,1.02389061915812,0.859387580981896,1.49906637611548
3,463,1,Cichlids,astral,40,0,1,EXT,REF,0.264785,434129,0.980208333333333,0.0884016362449256,0.433812261326325,1.03237590053236,0.774272517050782,1.50755165748972
4,499,1,Cichlids,astral,40,0,1,INT,REF,0.217217,530868,0.99125,0.042856762916249,0.507944736363102,1.02389061915812,0.859387580981896,1.49906637611548
5,483,1,Cichlids,astral,40,0,2,EXT,REF,0.264785,434129,0.976875,0.0923489278123201,0.507944736363102,1.02389061915812,0.859387580981896,1.49906637611548
6,97,1,Cichlids,astral,40,0,2,INT,REF,0.217217,530868,0.988958333333333,0.0539991955548171,0.507944736363102,1.02389061915812,0.859387580981896,1.49906637611548
7,15,1,Cichlids,astral,40,0,3,EXT,REF,0.264785,124113,0.986041666666667,0.0600262206299928,0.464014380785752,0.506288455329568,0.815457225404547,1.06066017177982
8,904,1,Cichlids,astral,40,0,3,INT,REF,0.217217,186026,0.983125,0.0749512252749264,0.389881905748975,0.562856997824492,0.719359572579095,1.11157186002525
9,266,1,Cichlids,astral,40,0,4,EXT,REF,0.264785,108573,0.979166666666667,0.0898896092102509,0.47499696968009,0.543058007951268,0.809965930957378,1.09177287015203
10,404,1,Cichlids,astral,40,0,4,INT,REF,0.217217,162294,0.977291666666667,0.0790835696773217,0.362425433513132,0.57134227919873,0.686411805896083,1.12005714139949
11,259,1,Cichlids,astral,40,0,5,EXT,REF,0.264785,76715,0.9775,0.0895734573147601,0.466760028009337,0.551543289325507,0.790746400392288,1.09460129727678
12,22,1,Cichlids,astral,40,0,5,INT,REF,0.217217,115350,0.984375,0.0674112892243845,0.389881905748975,0.562856997824492,0.724850867026264,1.11157186002525
13,788,1,Cichlids,astral,40,0,10,EXT,REF,0.264785,39856,0.965625,0.10239486045114,0.499707794692349,0.543058007951268,0.840168050416806,1.08611601590254
14,7,1,Cichlids,astral,40,0,10,INT,REF,0.217217,60327,0.984583333333333,0.0693114565868039,0.400864494643313,0.608111831820431,0.719359572579095,1.14551298552221
15,365,1,Cichlids,astral,40,0.25,0,EXT,REF,0.264785,165973,0.980416666666667,0.0813178249369858,0.420084025208403,0.514773736703807,0.76054428093286,1.06914545315406
16,69,1,Cichlids,astral,40,0.25,0,INT,REF,0.217217,249947,0.981875,0.0807321879439221,0.41184708353765,0.562856997824492,0.768781222603613,1.11157186002525
17,338,1,Cichlids,astral,40,0.25,1,EXT,REF,0.264785,165973,0.968541666666667,0.105588313008456,0.420084025208403,0.514773736703807,0.76054428093286,1.06914545315406
18,345,1,Cichlids,astral,40,0.25,1,INT,REF,0.217217,249947,0.988333333333333,0.0483045891539648,0.41184708353765,0.562856997824492,0.768781222603613,1.11157186002525
19,397,1,Cichlids,astral,40,0.25,2,EXT,REF,0.264785,165973,0.982708333333333,0.0766239666782107,0.420084025208403,0.514773736703807,0.76054428093286,1.06914545315406
20,50,1,Cichlids,astral,40,0.25,2,INT,REF,0.217217,249947,0.984166666666667,0.0703738749075504,0.39262755297256,0.562856997824492,0.733087808697017,1.11157186002525
21,13,1,Cichlids,astral,40,0.25,3,EXT,REF,0.264785,114796,0.973333333333333,0.0980302457306631,0.420084025208403,0.543058007951268,0.826439814298884,1.08611601590254
22,901,1,Cichlids,astral,40,0.25,3,INT,REF,0.217217,171438,0.981666666666667,0.0656662526537692,0.43106661410274,0.514773736703807,0.771526869827198,1.06914545315406
23,257,1,Cichlids,astral,40,0.25,4,EXT,REF,0.264785,100898,0.972916666666667,0.0968209211903184,0.469505675232921,0.551543289325507,0.80447463651021,1.09460129727678
24,403,1,Cichlids,astral,40,0.25,4,INT,REF,0.217217,150703,0.981041666666667,0.0791239152951319,0.403610141866897,0.523259018078045,0.727596514249848,1.0776307345283
25,254,1,Cichlids,astral,40,0.25,5,EXT,REF,0.264785,73059,0.96,0.163979760038023,0.480488264127258,0.562856997824492,0.859387580981896,1.11157186002525
26,21,1,Cichlids,astral,40,0.25,5,INT,REF,0.217217,109946,0.980416666666667,0.0795187207540125,0.472251322456505,0.514773736703807,0.856641933758312,1.06914545315406
27,786,1,Cichlids,astral,40,0.25,10,EXT,REF,0.264785,39478,0.973958333333333,0.0858682707935709,0.420084025208403,0.551543289325507,0.705631336461174,1.09460129727678
28,6,1,Cichlids,astral,40,0.25,10,INT,REF,0.217217,59832,0.98,0.0877617665021305,0.400864494643313,0.608111831820431,0.719359572579095,1.14551298552221
29,561,1,Cichlids,astral,40,0.5,0,EXT,REF,0.264785,146890,0.972708333333333,0.0935070729679603,0.439303555773493,0.523259018078045,0.774272517050782,1.07197388027881
30,191,1,Cichlids,astral,40,0.5,0,INT,REF,0.217217,220037,0.981666666666667,0.0722387687901175,0.384390611301807,0.514773736703807,0.680920511448915,1.06914545315406
31,476,1,Cichlids,astral,40,0.5,1,EXT,REF,0.264785,146890,0.97875,0.0898373234288014,0.428320966879156,0.523259018078045,0.763289928156445,1.07197388027881
32,566,1,Cichlids,astral,40,0.5,1,INT,REF,0.217217,220037,0.98125,0.0763147179134717,0.403610141866897,0.523259018078045,0.733087808697017,1.0776307345283
33,547,1,Cichlids,astral,40,0.5,2,EXT,REF,0.264785,146890,0.977291666666667,0.0813121011991354,0.43106661410274,0.514773736703807,0.771526869827198,1.06914545315406
34,178,1,Cichlids,astral,40,0.5,2,INT,REF,0.217217,220037,0.98,0.0772946834207009,0.403610141866897,0.523259018078045,0.733087808697017,1.0776307345283
35,103,1,Cichlids,astral,40,0.5,3,EXT,REF,0.264785,102945,0.976875,0.101544587209213,0.420084025208403,0.543058007951268,0.831931108746053,1.08611601590254
36,890,1,Cichlids,astral,40,0.5,3,INT,REF,0.217217,153419,0.979375,0.0861815562536316,0.461268733562168,0.514773736703807,0.818202872628131,1.06914545315406
37,287,1,Cichlids,astral,40,0.5,4,EXT,REF,0.264785,90380,0.970416666666667,0.108529010404089,0.420084025208403,0.543058007951268,0.826439814298884,1.08611601590254
38,532,1,Cichlids,astral,40,0.5,4,INT,REF,0.217217,134782,0.985208333333333,0.0579430969337116,0.43106661410274,0.514773736703807,0.771526869827198,1.06914545315406
39,283,1,Cichlids,astral,40,0.5,5,EXT,REF,0.264785,65178,0.970416666666667,0.141976299090891,0.571094622505541,0.642052957317385,0.999415589384697,1.16248354827068
40,131,1,Cichlids,astral,40,0.5,5,INT,REF,0.217217,98085,0.961041666666667,0.124066550146477,0.507944736363102,0.551543289325507,0.88684405321774,1.10025815152627
41,813,1,Cichlids,astral,40,0.5,10,EXT,REF,0.264785,35497,0.973541666666667,0.0940459277418363,0.458523086338584,0.591141269071954,0.793492047615872,1.12854242277373
42,80,1,Cichlids,astral,40,0.5,10,INT,REF,0.217217,53977,0.984166666666667,0.0693383113324785,0.425575319655572,0.599626550446192,0.749561692038523,1.13702770414797
43,666,1,Cichlids,astral,40,0.75,0,EXT,REF,0.264785,91906,0.96875,0.110811801353236,0.43106661410274,0.562856997824492,0.809965930957378,1.11157186002525
44,220,1,Cichlids,astral,40,0.75,0,INT,REF,0.217217,136077,0.972083333333333,0.111583540564111,0.389881905748975,0.562856997824492,0.724850867026264,1.11157186002525
45,585,1,Cichlids,astral,40,0.75,1,EXT,REF,0.264785,91906,0.969375,0.106918267650794,0.425575319655572,0.554371716450253,0.777018164274366,1.10308657865101
46,644,1,Cichlids,astral,40,0.75,1,INT,REF,0.217217,136077,0.976875,0.0938798745795063,0.362425433513132,0.57134227919873,0.686411805896083,1.12005714139949
47,607,1,Cichlids,astral,40,0.75,2,EXT,REF,0.264785,91906,0.974583333333333,0.0979135166235421,0.422829672431987,0.554371716450253,0.763289928156445,1.10308657865101
48,190,1,Cichlids,astral,40,0.75,2,INT,REF,0.217217,136077,0.97625,0.0985560646147178,0.39262755297256,0.562856997824492,0.733087808697017,1.11157186002525
49,92,1,Cichlids,astral,40,0.75,3,EXT,REF,0.264785,65337,0.964375,0.117381107798849,0.420084025208403,0.514773736703807,0.76054428093286,1.06914545315406
50,883,1,Cichlids,astral,40,0.75,3,INT,REF,0.217217,96359,0.970833333333333,0.105504529162301,0.43106661410274,0.514773736703807,0.766035575380029,1.06914545315406
51,281,1,Cichlids,astral,40,0.75,4,EXT,REF,0.264785,57238,0.961458333333333,0.119609107732155,0.409101436314066,0.633567675943147,0.744070397591354,1.17096882964492
52,502,1,Cichlids,astral,40,0.75,4,INT,REF,0.217217,84545,0.97375,0.0964833796733483,0.362425433513132,0.57134227919873,0.680920511448915,1.12005714139949
53,277,1,Cichlids,astral,40,0.75,5,EXT,REF,0.264785,40911,0.952291666666667,0.155402560061792,0.472251322456505,0.514773736703807,0.818202872628131,1.07480230740355
54,105,1,Cichlids,astral,40,0.75,5,INT,REF,0.217217,61117,0.968541666666667,0.112929832919032,0.439303555773493,0.57134227919873,0.818202872628131,1.12005714139949
55,804,1,Cichlids,astral,40,0.75,10,EXT,REF,0.264785,21477,0.947708333333333,0.160441406860763,0.477742616903674,0.562856997824492,0.807220283733794,1.11157186002525
56,62,1,Cichlids,astral,40,0.75,10,INT,REF,0.217217,32656,0.957083333333333,0.127595743498227,0.488725205798011,0.599626550446192,0.867624522652649,1.14268455839746
57,691,1,Cichlids,astral,40,0.9,0,EXT,REF,0.264785,30790,0.92625,0.156675908886886,0.414592730761234,0.455376767084137,0.777018164274366,1.03237590053236
58,228,1,Cichlids,astral,40,0.9,0,INT,REF,0.217217,44523,0.9525,0.156742097428811,0.420084025208403,0.455376767084137,0.777018164274366,1.03237590053236
59,518,1,Cichlids,astral,40,0.9,1,EXT,REF,0.264785,30790,0.940625,0.132173423311145,0.417338377984819,0.678822509939086,0.746816044814939,1.23885108063883
60,639,1,Cichlids,astral,40,0.9,1,INT,REF,0.217217,44523,0.94,0.168143808763605,0.400864494643313,0.449719912834644,0.873115817099818,1.02671904628287
61,598,1,Cichlids,astral,40,0.9,2,EXT,REF,0.264785,30790,0.932291666666667,0.143959799106783,0.291038605699939,0.455376767084137,0.615024978082891,1.03237590053236
62,197,1,Cichlids,astral,40,0.9,2,INT,REF,0.217217,44523,0.948125,0.148003108794261,0.315749430712198,0.435577777210913,0.76054428093286,1.01257691065914
63,112,1,Cichlids,astral,40,0.9,3,EXT,REF,0.264785,22050,0.91125,0.175603821506423,0.34869719739521,0.455376767084137,0.815457225404547,1.03237590053236
64,490,1,Cichlids,astral,40,0.9,3,INT,REF,0.217217,31792,0.94125,0.172313729216786,0.403610141866897,0.509116882454314,0.875861464323402,1.07480230740355
65,290,1,Cichlids,astral,40,0.9,4,EXT,REF,0.264785,19351,0.926875,0.157387666796272,0.417338377984819,0.455376767084137,0.763289928156445,1.03237590053236
66,536,1,Cichlids,astral,40,0.9,4,INT,REF,0.217217,27906,0.932916666666667,0.173731981564822,0.425575319655572,0.455376767084137,0.788000753168704,1.03237590053236
67,282,1,Cichlids,astral,40,0.9,5,EXT,REF,0.264785,13595,0.91875,0.168757978534791,0.332223314053704,0.729734198184517,0.656209686436656,1.2614784976368
68,130,1,Cichlids,astral,40,0.9,5,INT,REF,0.217217,19881,0.942291666666667,0.148671272151417,0.455777439114999,0.51194530957906,0.878607111546987,1.06631702602931
69,808,1,Cichlids,astral,40,0.9,10,EXT,REF,0.264785,6809,0.883125,0.182035257866115,0.323986372382951,0.582655987697715,0.620516272530059,1.13702770414797
70,68,1,Cichlids,astral,40,0.9,10,INT,REF,0.217217,10305,0.923125,0.163110147485575,0.387136258525391,0.492146319705837,0.744070397591354,1.06348859890457
71,779,2,Cichlids,astral,40,0,0,EXT,REF,0.271124,448897,0.9775,0.0920799837329228,0.63973580309515,0.783474313554695,1.00216123660828,1.33218917575546
72,248,2,Cichlids,astral,40,0,0,INT,REF,0.209569,547900,0.974583333333333,0.0852520252042052,0.656209686436656,0.806101730552664,0.974704764372438,1.34915973850393
73,498,2,Cichlids,astral,40,0,1,EXT,REF,0.271124,448897,0.980833333333333,0.0837126120631755,0.63973580309515,0.783474313554695,1.00216123660828,1.33218917575546
74,574,2,Cichlids,astral,40,0,1,INT,REF,0.209569,547900,0.98,0.0661397617557425,0.656209686436656,0.806101730552664,0.974704764372438,1.34915973850393
75,525,2,Cichlids,astral,40,0,2,EXT,REF,0.271124,448897,0.979583333333333,0.0860963916345062,0.598551094741385,0.783474313554695,0.884098405994155,1.33218917575546
76,152,2,Cichlids,astral,40,0,2,INT,REF,0.209569,547900,0.981458333333333,0.0593578969394807,0.661700980883824,0.806101730552664,1.01314382550262,1.34915973850393
77,52,2,Cichlids,astral,40,0,3,EXT,REF,0.271124,96534,0.974583333333333,0.0825126252965771,0.623261919753644,0.695793072687563,0.941756997689426,1.25016478913782
78,911,2,Cichlids,astral,40,0,3,INT,REF,0.209569,145061,0.973541666666667,0.0936832504690124,0.546383797493282,0.670337228564847,0.848404992087559,1.2247089450151
