,tree.num,simulation,method,height,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,tree,snps,dxy
1,1,10,raxml,Cichlids,40,0.25,0,EXT,REF,1.00000050002909e-06,0.0726221013336056,0.00804994937369138,0.0127721182323995,97.0208333333333,11.7825864720625,0.769726011433996,2.42484311995107,0.41184708353765,0.57134227919873,0.77976381149795,1.14834141264695,s10_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac0_EXT.noInv.phy,151659,0.272004
2,2,10,raxml,Cichlids,40,0.25,10,EXT,REF,0.000719674453934246,0.111229914408244,0.0327047950814858,0.0445124821159033,94.6458333333333,12.6078151773453,0.71312968735612,5.60219136133589,0.41184708353765,0.57134227919873,0.785255105945119,1.14834141264695,s10_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac10_EXT.noInv.phy,39714,0.272004
3,3,10,raxml,Cichlids,40,0.25,1,EXT,REF,1.00000050002909e-06,0.0726221013336056,0.00804994937369138,0.0127721182323995,97.0208333333333,11.7825864720625,0.769726011433996,2.42484311995107,0.41184708353765,0.57134227919873,0.77976381149795,1.14834141264695,s10_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac1_EXT.noInv.phy,151659,0.272004
4,4,10,raxml,Cichlids,40,0.25,2,EXT,REF,1.00000050002909e-06,0.0726221013336056,0.00804994937369138,0.0127721182323995,97.0208333333333,11.7825864720625,0.769726011433996,2.42484311995107,0.41184708353765,0.57134227919873,0.77976381149795,1.14834141264695,s10_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac2_EXT.noInv.phy,151659,0.272004
5,5,10,raxml,Cichlids,40,0.25,3,EXT,REF,1.00000050002909e-06,0.0367877601967581,0.0111363637839693,0.0151029139758343,98.625,6.49590705834361,0.156212268423498,3.93723133025428,0.376153669631054,0.537401153701776,0.716613925355511,1.12005714139949,s10_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac3_EXT.noInv.phy,99006,0.272004
6,6,10,raxml,Cichlids,40,0.25,4,EXT,REF,1.00000050002909e-06,0.0406002187656317,0.0126471031613923,0.017396008967743,98.5833333333333,6.30715005719474,0.482609548038389,3.75061550705555,0.378899316854638,0.537401153701776,0.752307339262107,1.12005714139949,s10_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac4_EXT.noInv.phy,86539,0.272004
7,7,10,raxml,Cichlids,40,0.25,5,EXT,REF,1.00000050002909e-06,0.0599878410226532,0.0184833689220269,0.0249166206924727,97.7083333333333,9.51585090465988,-0.157580481343598,4.9520235942359,0.420084025208403,0.57134227919873,0.798983342063041,1.14834141264695,s10_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac5_EXT.noInv.phy,68597,0.272004
8,8,10,raxml,Cichlids,40,0.5,0,EXT,REF,1.00000050002909e-06,0.0637011745520277,0.00772834096388942,0.0121466919491759,96.1875,13.5075333590855,1.36516122950055,3.05428821972182,0.41184708353765,0.57134227919873,0.785255105945119,1.14834141264695,s10_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.50_mac0_EXT.noInv.phy,135257,0.272004
9,9,10,raxml,Cichlids,40,0.5,10,EXT,REF,0.000629851137493907,0.107629219001961,0.0319681803919789,0.043356783290513,94.7916666666667,14.4162413334543,0.537658623785145,5.56567893080221,0.41184708353765,0.57134227919873,0.785255105945119,1.14834141264695,s10_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.50_mac10_EXT.noInv.phy,36210,0.272004
10,10,10,raxml,Cichlids,40,0.5,1,EXT,REF,1.00000050002909e-06,0.0637011745520277,0.00772834096388942,0.0121466919491759,96.1875,13.5075333590855,1.36516122950055,3.05428821972182,0.41184708353765,0.57134227919873,0.785255105945119,1.14834141264695,s10_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.50_mac1_EXT.noInv.phy,135257,0.272004
