sim,height,int,dxy
1,Lates,EXT,0.550003
2,Lates,EXT,0.556455
3,Lates,EXT,0.54571
4,Lates,EXT,0.554472
5,Lates,EXT,0.569217
6,Lates,EXT,0.552805
7,Lates,EXT,0.558435
8,Lates,EXT,0.563208
9,Lates,EXT,0.549398
10,Lates,EXT,0.546164
1,Lates,INT,0.0397409
2,Lates,INT,0.0360989
3,Lates,INT,0.0410177
4,Lates,INT,0.0408547
5,Lates,INT,0.0398327
6,Lates,INT,0.0389125
7,Lates,INT,0.0393079
8,Lates,INT,0.0382194
9,Lates,INT,0.0392779
10,Lates,INT,0.0378395
1,Cichlid,EXT,0.264785
2,Cichlid,EXT,0.271124
3,Cichlid,EXT,0.277487
4,Cichlid,EXT,0.281971
5,Cichlid,EXT,0.272258
6,Cichlid,EXT,0.278644
7,Cichlid,EXT,0.264638
8,Cichlid,EXT,0.277349
9,Cichlid,EXT,0.279127
10,Cichlid,EXT,0.272004
1,Cichlid,INT,0.217217
2,Cichlid,INT,0.209569
3,Cichlid,INT,0.229259
4,Cichlid,INT,0.232505
5,Cichlid,INT,0.229767
6,Cichlid,INT,0.241146
7,Cichlid,INT,0.211928
8,Cichlid,INT,0.234123
9,Cichlid,INT,0.220617
10,Cichlid,INT,0.224374
