,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,snps,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
1,758,1,Lates,astral,40,0,0,EXT,REF,0.550003,11321979,0.808333333333333,0.220804460845061,0.285547311252771,0.905096679918781,0.549129444716867,1.43684097937106
2,706,1,Lates,astral,40,0,0,INT,REF,0.0397409,70048,0.770208333333333,0.244379279542075,0.315749430712198,0.958836795288958,0.568348975281957,1.4453262607453
3,757,1,Lates,astral,40,0,1,EXT,REF,0.550003,11321979,0.813958333333333,0.215926894477889,0.293784252923524,0.913581961293019,0.551875091940451,1.43966940649581
4,243,1,Lates,astral,40,0,1,INT,REF,0.0397409,70048,0.780833333333333,0.210872890354651,0.296529900147108,0.978635785162182,0.549129444716867,1.46512525061853
5,760,1,Lates,astral,40,0,2,EXT,REF,0.550003,11321979,0.823125,0.205137797486097,0.282801664029186,0.92772409691675,0.546383797493282,1.45946839636903
6,479,1,Lates,astral,40,0,2,INT,REF,0.0397409,70048,0.811458333333333,0.219418860914058,0.359679786289548,1.0040916292849,0.683666158672499,1.48492424049175
7,519,1,Lates,astral,40,0,3,EXT,REF,0.550003,40226,0.812916666666667,0.247661044388901,0.274564722358433,1.08611601590254,0.472251322456505,1.53866435586193
8,348,1,Lates,astral,40,0,3,INT,REF,0.0397409,10062,0.678541666666667,0.304868228132783,0.326732019606536,1.08894444302728,0.568348975281957,1.54149278298667
9,510,1,Lates,astral,40,0,4,EXT,REF,0.550003,32869,0.8125,0.237661479258639,0.321240725159367,1.21622366364086,0.529909914151776,1.64614458660228
10,334,1,Lates,astral,40,0,4,INT,REF,0.0397409,8841,0.704791666666667,0.293931455197653,1.04334594496205,1.23602265351409,1.33987584510915,1.66594357647551
11,731,1,Lates,astral,40,0,5,EXT,REF,0.550003,28142,0.836666666666667,0.237238844845329,0.282801664029186,1.09177287015203,0.502453441915933,1.54997806436091
12,317,1,Lates,astral,40,0,5,INT,REF,0.0397409,7886,0.721041666666667,0.247302378298424,0.260836486240512,0.970150503787943,0.496962147468764,1.46795367774327
13,78,1,Lates,astral,40,0,10,EXT,REF,0.550003,18688,0.79,0.241951287518614,1.13120665611675,1.20773838226662,1.43322785071102,1.64331615947754
14,333,1,Lates,astral,40,0,10,INT,REF,0.0397409,5442,0.707083333333333,0.242205806045746,1.14218924501108,1.03803275478185,1.61444056746759,1.5188653659887
15,813,1,Lates,astral,40,0.25,0,EXT,REF,0.550003,171549,0.87875,0.167682894749254,0.293784252923524,1.03520432765711,0.502453441915933,1.51038008461447
16,239,1,Lates,astral,40,0.25,0,INT,REF,0.0397409,42268,0.83,0.217910776197458,0.326732019606536,0.817415439051649,0.63973580309515,1.3717871555019
17,814,1,Lates,astral,40,0.25,1,EXT,REF,0.550003,171549,0.875833333333333,0.165899653512179,0.293784252923524,1.03520432765711,0.502453441915933,1.51038008461447
18,227,1,Lates,astral,40,0.25,1,INT,REF,0.0397409,42268,0.79625,0.230195337956748,0.337714608500873,0.828729147550634,0.645227097542318,1.37744400975139
19,535,1,Lates,astral,40,0.25,2,EXT,REF,0.550003,171549,0.875,0.171724668298202,0.293784252923524,1.03520432765711,0.502453441915933,1.51038008461447
20,4,1,Lates,astral,40,0.25,2,INT,REF,0.0397409,42268,0.804166666666667,0.204375887878437,0.856641933758312,0.871155554421827,1.19710218948277,1.41421356237309
21,509,1,Lates,astral,40,0.25,3,EXT,REF,0.550003,33964,0.81,0.244070098057827,0.538146855822529,1.08045916165304,0.862133228205481,1.54997806436091
22,309,1,Lates,astral,40,0.25,3,INT,REF,0.0397409,8848,0.699583333333333,0.273596677326264,0.870370169876234,1.01823376490863,1.29319984230822,1.49906637611548
23,507,1,Lates,astral,40,0.25,4,EXT,REF,0.550003,28913,0.811875,0.259005103457483,0.285547311252771,1.05500331753033,0.538146855822529,1.53017907448769
24,324,1,Lates,astral,40,0.25,4,INT,REF,0.0397409,7898,0.704583333333333,0.257334605700011,0.31025813626503,1.01540533778388,0.540892503046114,1.50189480324023
25,730,1,Lates,astral,40,0.25,5,EXT,REF,0.550003,26309,0.803125,0.250549661701475,0.296529900147108,1.13702770414797,0.483233911350843,1.58957604410736
26,306,1,Lates,astral,40,0.25,5,INT,REF,0.0397409,7363,0.725833333333333,0.245181941417314,0.299275547370692,1.06348859890457,0.546383797493282,1.54432121011142
27,90,1,Lates,astral,40,0.25,10,EXT,REF,0.550003,18503,0.813333333333333,0.206359872948014,1.10100453665732,1.17662568389442,1.41400832014593,1.62351716960431
28,331,1,Lates,astral,40,0.25,10,INT,REF,0.0397409,5383,0.7125,0.251645647518278,0.873115817099818,1.03237590053236,1.28496290063747,1.5188653659887
29,604,1,Lates,astral,40,0.5,0,EXT,REF,0.550003,126067,0.849375,0.201445903725193,0.944502644913011,0.834386001800126,1.49363208962988,1.39441457249987
30,804,1,Lates,astral,40,0.5,0,INT,REF,0.0397409,30237,0.782708333333333,0.213947096098727,0.291038605699939,0.848528137423857,0.626007566977228,1.4085567081236
31,625,1,Lates,astral,40,0.5,1,EXT,REF,0.550003,126067,0.829375,0.235104379263629,1.00765253105545,0.899439825669288,1.54579938687798,1.44815468787005
32,263,1,Lates,astral,40,0.5,1,INT,REF,0.0397409,30237,0.777291666666667,0.245493333820604,0.288292958476355,0.774989032180456,0.617770625306475,1.34067445712969
33,651,1,Lates,astral,40,0.5,2,EXT,REF,0.550003,126067,0.850208333333333,0.204028466759487,0.952739586583763,0.842871283174365,1.49637773685346,1.39724299962462
34,495,1,Lates,astral,40,0.5,2,INT,REF,0.0397409,30237,0.776666666666667,0.231381910815176,0.299275547370692,0.857013418798096,0.628753214200812,1.41138513524835
35,594,1,Lates,astral,40,0.5,3,EXT,REF,0.550003,27118,0.804166666666667,0.228192092776401,0.313003783488614,0.972978930912689,0.57658591695271,1.4877526676165
36,437,1,Lates,astral,40,0.5,3,INT,REF,0.0397409,6726,0.71375,0.246245207319167,0.332223314053704,1.08894444302728,0.546383797493282,1.55280649148566
37,587,1,Lates,astral,40,0.5,4,EXT,REF,0.550003,23301,0.832291666666667,0.216089417891813,0.285547311252771,1.10308657865101,0.488725205798011,1.57260548135888
38,429,1,Lates,astral,40,0.5,4,INT,REF,0.0397409,6034,0.716458333333333,0.253448467911181,0.356934139065963,1.06631702602931,0.582077211399879,1.53583592873718
39,737,1,Lates,astral,40,0.5,5,EXT,REF,0.550003,21458,0.792916666666667,0.256705463587087,0.304766841817861,1.08611601590254,0.51343603081027,1.5556349186104
40,400,1,Lates,astral,40,0.5,5,INT,REF,0.0397409,5708,0.70875,0.245518340087149,0.277310369582018,1.13419927702322,0.485979558574427,1.5980613254816
41,143,1,Lates,astral,40,0.5,10,EXT,REF,0.550003,15658,0.782291666666667,0.226257616148602,0.323986372382951,1.05783174465508,0.554620739164035,1.53300750161243
42,423,1,Lates,astral,40,0.5,10,INT,REF,0.0397409,4364,0.688125,0.244345902795128,0.285547311252771,1.04368960903134,0.499707794692349,1.5245222202382
