,tree.num,simulation,method,height,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,tree,snps,dxy
1,1,10,raxml,Lates,40,0.25,0,EXT,REF,0.246293442517558,0.246293442517558,0.0029608524564358,0.0246018827044741,50.9791666666667,35.9500182483506,-1.81989004595043,-1.81989004595043,0.543638150269698,0.543638150269698,0.900572289335661,0.900572289335661,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac0_EXT.noInv.phy,159109,0.546164
2,2,10,raxml,Lates,40,0.25,10,EXT,REF,0.02773206749879,0.02773206749879,0.00833255016514648,0.0265225142384612,48.6875,31.8561636041515,-3.7403393996146,-3.7403393996146,0.584822858623463,0.584822858623463,0.892335347664908,0.892335347664908,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac10_EXT.noInv.phy,17083,0.546164
3,3,10,raxml,Lates,40,0.25,1,EXT,REF,0.246293442517558,0.246293442517558,0.0029608524564358,0.0246018827044741,50.9791666666667,35.9500182483506,-1.81989004595043,-1.81989004595043,0.543638150269698,0.543638150269698,0.900572289335661,0.900572289335661,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac1_EXT.noInv.phy,159109,0.546164
4,4,10,raxml,Lates,40,0.25,2,EXT,REF,0.246293442517558,0.246293442517558,0.0029608524564358,0.0246018827044741,50.9791666666667,35.9500182483506,-1.81989004595043,-1.81989004595043,0.543638150269698,0.543638150269698,0.900572289335661,0.900572289335661,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac2_EXT.noInv.phy,159109,0.546164
5,5,10,raxml,Lates,40,0.25,3,EXT,REF,0.0986636256780983,0.0986636256780983,0.00530655228173912,0.0141016406266039,54.5416666666667,34.440178375334,0.433844401769334,0.433844401769334,0.623261919753644,0.623261919753644,0.930774408795089,0.930774408795089,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac3_EXT.noInv.phy,31540,0.546164
6,6,10,raxml,Lates,40,0.25,4,EXT,REF,0.0619613673174252,0.0619613673174252,0.00615832415262468,0.0149896737111125,54.0625,34.481821451865,-1.09113295173315,-1.09113295173315,0.604042389188553,0.604042389188553,0.900572289335661,0.900572289335661,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac4_EXT.noInv.phy,27067,0.546164
7,7,10,raxml,Lates,40,0.25,5,EXT,REF,0.0495776452727973,0.0495776452727973,0.00660030922585132,0.0163141583204669,53.9583333333333,33.9109963545583,-1.60250508985308,-1.60250508985308,0.606788036412138,0.606788036412138,0.903317936559246,0.903317936559246,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac5_EXT.noInv.phy,24729,0.546164
8,8,10,raxml,Lates,40,0.5,0,EXT,REF,0.248489428977665,0.248489428977665,0.00302652155555939,0.0248174454534229,53.3958333333333,34.7377650791618,-1.92773239833871,-1.92773239833871,0.612279330859306,0.612279330859306,0.963722175478101,0.963722175478101,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.50_mac0_EXT.noInv.phy,115370,0.546164
9,9,10,raxml,Lates,40,0.5,10,EXT,REF,0.0286287175823132,0.0286287175823132,0.00787616023695232,0.0238480623015357,48.6875,33.3244247847437,-1.94901206197131,-1.94901206197131,0.642481450318734,0.642481450318734,0.928028761571504,0.928028761571504,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.50_mac10_EXT.noInv.phy,14940,0.546164
10,10,10,raxml,Lates,40,0.5,1,EXT,REF,0.248489428977665,0.248489428977665,0.00302652155555939,0.0248174454534229,53.3958333333333,34.7377650791618,-1.92773239833871,-1.92773239833871,0.612279330859306,0.612279330859306,0.963722175478101,0.963722175478101,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.50_mac1_EXT.noInv.phy,115370,0.546164
