,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
1,1,7,Cichlids,astral,40,0.25,3,EXT,REF,0.264638,0.845416666666667,0.214376466767101,0.516181678033855,0.639224530192639,0.878607111546987,1.15399826689645
2,2,7,Cichlids,astral,40,0,3,EXT,REF,0.264638,0.87875,0.175761262161478,0.400864494643313,0.503460028204822,0.708376983684758,1.06348859890457
3,3,7,Cichlids,astral,40,0.75,3,EXT,REF,0.264638,0.862708333333333,0.194474081665697,0.472251322456505,0.656195092941116,0.845659344863975,1.19925310089238
4,4,7,Cichlids,astral,40,0.5,3,EXT,REF,0.264638,0.868125,0.187147185789517,0.505199089139517,0.905096679918781,0.873115817099818,1.38027243687614
5,5,7,Cichlids,astral,40,0.9,3,EXT,REF,0.264638,0.747291666666667,0.23074107791085,0.340460255724457,0.57134227919873,0.680920511448915,1.12005714139949
6,6,1,Cichlids,astral,40,0.25,10,INT,REF,0.217217,0.98,0.0877617665021305,0.400864494643313,0.608111831820431,0.719359572579095,1.14551298552221
7,7,1,Cichlids,astral,40,0,10,INT,REF,0.217217,0.984583333333333,0.0693114565868039,0.400864494643313,0.608111831820431,0.719359572579095,1.14551298552221
8,8,2,Cichlids,astral,40,0.25,10,INT,REF,0.209569,0.971666666666667,0.080353827467349,0.604042389188553,0.718420489685532,0.895080994888492,1.27279220613579
9,9,8,Cichlids,astral,40,0,10,INT,REF,0.234123,0.98875,0.0582958339447953,0.477742616903674,0.6307392488184,0.845659344863975,1.18511096526865
10,10,8,Cichlids,astral,40,0.25,10,INT,REF,0.234123,0.986041666666667,0.0676895159339752,0.505199089139517,0.6307392488184,0.922537467124336,1.18511096526865
11,11,5,Cichlids,astral,40,0.25,10,INT,REF,0.229767,0.968958333333333,0.114338794505968,0.560112033611204,0.806101730552664,0.911554878229998,1.32087546725647
12,12,7,Cichlids,astral,40,0,10,INT,REF,0.211928,0.964375,0.11354830727539,0.485979558574427,0.514773736703807,0.914300525453583,1.07480230740355
13,13,1,Cichlids,astral,40,0.25,3,EXT,REF,0.264785,0.973333333333333,0.0980302457306631,0.420084025208403,0.543058007951268,0.826439814298884,1.08611601590254
14,14,7,Cichlids,astral,40,0.25,10,INT,REF,0.211928,0.969375,0.0975967877479756,0.488725205798011,0.517602163828553,0.911554878229998,1.07197388027881
15,15,1,Cichlids,astral,40,0,3,EXT,REF,0.264785,0.986041666666667,0.0600262206299928,0.464014380785752,0.506288455329568,0.815457225404547,1.06066017177982
16,16,2,Cichlids,astral,40,0,10,INT,REF,0.209569,0.97625,0.07470865397478,0.543638150269698,0.726905771059771,0.834676755969637,1.27562063326053
