,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
1,1,8,Lates,astral,40,0.25,2,INT,REF,0.0382194,0.860416666666667,0.180707337548788,0.705631336461174,0.769332177930964,1.05707418107997,1.28410591463477
2,2,7,Lates,astral,40,0.25,2,INT,REF,0.0393079,0.785416666666667,0.266090356860568,0.722105219802679,0.817415439051649,1.07354806442147,1.34350288425444
3,3,10,Lates,astral,40,0.25,2,INT,REF,0.0378395,0.818958333333333,0.218605245925388,0.65895533366024,0.760846896556725,0.966467822701685,1.2982480502585
4,4,1,Lates,astral,40,0.25,2,INT,REF,0.0397409,0.804166666666667,0.204375887878437,0.856641933758312,0.871155554421827,1.19710218948277,1.41421356237309
5,5,4,Lates,astral,40,0.25,2,INT,REF,0.0408547,0.847291666666667,0.196520147668671,0.656209686436656,0.701449926937055,0.980196058819607,1.25016478913782
6,6,2,Lates,astral,40,0.25,2,INT,REF,0.0360989,0.862916666666667,0.170630349914828,0.738579103144186,0.789131167804187,1.04609159218563,1.30390490450799
7,7,9,Lates,astral,40,0.25,2,INT,REF,0.0392779,0.850416666666667,0.202000193104325,0.831931108746053,0.910753534168273,1.14493489223467,1.41987041662259
8,8,3,Lates,astral,40,0.25,2,INT,REF,0.0410177,0.821458333333333,0.253838527861612,0.296529900147108,0.766503750806217,0.615024978082891,1.31521861300698
9,9,5,Lates,astral,40,0.25,2,INT,REF,0.0398327,0.805833333333333,0.224241827416565,0.444794850220662,0.69013621843807,0.768781222603613,1.22753737213985
10,10,6,Lates,astral,40,0.25,2,INT,REF,0.0389125,0.831041666666667,0.202466068429375,0.359679786289548,0.936209378290989,0.573840269729126,1.40572828099886
11,11,3,Lates,astral,40,0,2,INT,REF,0.0410177,0.797708333333333,0.270438883514024,0.299275547370692,0.857013418798096,0.584822858623463,1.36047344700292
12,12,2,Lates,astral,40,0,2,INT,REF,0.0360989,0.838333333333333,0.19993970722401,0.733087808697017,0.769332177930964,1.08453065331581,1.28410591463477
13,13,8,Lates,astral,40,0,2,INT,REF,0.0382194,0.82125,0.195813904272355,0.733087808697017,0.882469262920811,1.04609159218563,1.36330187412766
14,14,1,Lates,astral,40,0,2,INT,REF,0.0397409,0.805416666666667,0.229633920814527,0.359679786289548,1.0040916292849,0.683666158672499,1.48492424049175
15,15,7,Lates,astral,40,0,2,INT,REF,0.0393079,0.801666666666667,0.255961544097424,0.788000753168704,0.913581961293019,1.20533913115352,1.39441457249987
16,16,9,Lates,astral,40,0,2,INT,REF,0.0392779,0.806875,0.207816984234134,0.859387580981896,0.936209378290989,1.21632172004786,1.41138513524835
