,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,refdist,sites,std.sites,gamma,std.gamma,std.ingroup.gamma,colless,std.colless,std.ingroup.colless,sackin,std.sackin,std.ingroup.sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf
1,8,SHORT,raxml,40,0.25,0.01,EXT,REF,0_0_0,NA,23093,0.527550600813268,-13.8787649635438,-10.9893667381563,-3.12999821199452,0.253192631568284,-243,-53,679,-291,3,0.137349510136883,0.0719084557677981,0.0528966669922037,146,-13.3929697558895,0.23,650,49.1326530612245,34.6129222502685,551235.638458287
2,8,SHORT,raxml,40,0.25,0.02,EXT,REF,0_0_0,NA,18551,0.423790377849865,-13.5277475434254,6.75799751126919,6.97640559704683,0.462051922978698,-75,121,1065,-49,147,0.157775510658714,0.0839971401624146,0.0617824942033563,148,-12.8472768576375,0.47,964,45.6428571428571,33.7725106296053,551233.749414369
3,8,SHORT,raxml,40,0.25,0.03,EXT,REF,0_0_0,NA,16467,0.376182208616987,-13.6152040920694,-7.02299803747758,9.93816423881182,0.460081552305015,-123,38,822,-167,64,0.178617993728774,0.0915410490026096,0.0667478872777343,150,-12.9937002132384,0.395,819,53.9081632653061,32.9473452882031,551232.615210511
4,8,SHORT,raxml,40,0.25,0.04,EXT,REF,0_0_0,NA,15055,0.343925617946726,-13.5955500570353,-7.80921734581703,12.3778671087431,0.385207466705055,-153,43,885,-131,65,0.194536820792435,0.0982110455403909,0.0713924839496804,152,-13.051341233518,0.392,882,50.030612244898,33.2938971781919,551231.635365796
5,8,SHORT,raxml,40,0.25,0.05,EXT,REF,0_0_0,NA,14010,0.320052999497419,-13.2390979718132,-15.2754596883508,-3.0264038262679,0.236444480841978,-236,-26,604,-344,16,0.230603352319499,0.104108542644037,0.0748606940715055,148,-12.9137240567531,0.223,587,53.5408163265306,32.8772062071359,551230.729420596
6,8,SHORT,raxml,40,0.25,0.1,EXT,REF,0_0_0,NA,10567,0.241399003974962,-13.3665263087572,11.8649581015314,105.012995484855,0.466977849662906,-170,26,974,-140,56,0.251628740138738,0.127080092606852,0.0890741659029218,154,-12.7547184908594,0.375,873,50.9795918367347,30.7178646406144,551227.727489348
7,8,SHORT,raxml,40,0.5,0.01,EXT,REF,0_0_0,NA,23065,0.526910951706492,-13.6822212089168,-13.2438112290432,4.24495880507111,0.251222260894601,-227,-3,636,-299,39,0.144427579774881,0.0719327581691172,0.0530579217390436,146,-13.198130686443,0.237,633,50.5408163265306,35.6209044286699,551235.608977273
8,8,SHORT,raxml,40,0.5,0.02,EXT,REF,0_0_0,NA,18523,0.42315072874309,-13.2588257070015,-17.4475597597987,-11.0870815048165,0.483726000389213,-150,44,977,-136,60,0.180811874308102,0.083739148517907,0.0615864666814542,138,-13.1327488178083,0.393,877,51.0204081632653,31.5172934339022,551233.513362959
9,8,SHORT,raxml,40,0.5,0.03,EXT,REF,0_0_0,NA,16440,0.375565404121168,-13.2835425032563,-19.1766937217013,-10.7060831897679,0.370429686652432,-180,-42,813,-224,-20,0.207940648187915,0.091557137967853,0.0667751806472981,148,-13.0089246183635,0.308,784,53.3367346938776,32.4516909405035,551232.461628232
10,8,SHORT,raxml,40,0.5,0.04,EXT,REF,0_0_0,NA,15029,0.343331658061863,-13.3147412901317,-19.1864214471971,-11.8191083297096,0.404911173441887,-168,-39,864,-224,-13,0.22774744294487,0.0981485789133792,0.0706651708364412,150,-13.0360331393765,0.338,776,52.6020408163265,31.9373548523886,551231.752016853
