,tree.num,simulation,height,method,quality,missing,maf,sites,taxa_ref,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,avg_dxy,RF.Dist.ML,Q.Dist.ML,CI.Dist.ML,std.gamma,std.colless,std.sackin,std.sites
1,1,1,MED,raxml,40,0.25,0.01,31158,91_0_0,INT,REF,0.132753411079325,0.119856121663727,0.0553884407250953,0.0353977480773104,86.1122448979592,22.1428737707192,-12.615539608659,-11.792041534613,0.379296354684006,0.306,0.792089010820625,0.814,NA,68,0.0567872297433825,0.161737436466026,-20.7289256413924,-0.0551703788631281,-0.128074093789404,0.251410036067875
2,2,1,MED,raxml,40,0.25,0.02,21767,91_0_0,INT,REF,0.144059897138845,0.210970537152925,0.0695338027743798,0.0438145100295864,85.8163265306122,20.4910576114706,-12.5112423801368,-11.5748595754824,0.297525971726155,0.311,0.690614921125943,0.815,NA,70,0.0567651867227539,0.162249650694183,-20.5943208959038,-0.169451877936751,-0.254177816905126,0.175635222257187
3,3,1,MED,raxml,40,0.25,0.03,18173,91_0_0,INT,REF,0.160798027531464,0.219989419754832,0.0779836267238693,0.0493212209605094,86.3979591836735,21.4907027588788,-12.4885353354157,-11.4684813789257,0.299496342399838,0.32,0.643326024957547,0.82,NA,68,0.0567211006814967,0.16188363318269,-14.5617766469068,-0.167481507263067,-0.243340778199869,0.146635682183115
4,4,1,MED,raxml,40,0.25,0.04,16187,91_0_0,INT,REF,0.17559209296159,0.22971598753269,0.0843183584072666,0.0527926051152958,86.3163265306122,20.8744884195727,-12.4955407470096,-11.4431140459909,0.324125975820878,0.312,0.731992705273289,0.816,NA,70,0.0566711365014052,0.159909475104525,-20.2129412715293,-0.046303710831554,-0.185214843326216,0.130610894596274
5,5,1,MED,raxml,40,0.25,0.05,14820,91_0_0,INT,REF,0.189113718683135,0.166875658847273,0.0896625317689634,0.0555673983299107,87.4081632653061,20.1063341995039,-12.498203245064,-11.4121494978486,0.265014855610383,0.311,0.663029731694379,0.815,NA,66,0.0567171819222739,0.160543778921931,-20.3013961871829,-0.136940761820979,-0.223637071463037,0.119580741206942
6,6,1,MED,raxml,40,0.25,0.1,11084,91_0_0,INT,REF,0.232162862757039,0.304410137679677,0.108620796516031,0.0663709039380526,82.5204081632653,24.8015752708202,-12.3395259462785,-11.0864688877518,0.31920004913667,0.329,0.782237157452209,0.829,NA,66,0.073896042665491,0.194067200003412,-20.5189811492975,-0.0512296375157618,-0.134970391147296,0.0894354207515351
7,7,1,MED,raxml,40,0.25,0,122256,91_0_0,INT,REF,4.84546547045877,0.0890536193680924,0.0515252491979964,0.341217115886652,85.3775510204082,20.874448103636,-12.6402212215455,-12.8536594564905,0.25023707555776,0.195,0.737903817294339,0.737,NA,74,0.0777114446138491,0.202743848571765,-16.3013210812457,-0.184229657989374,-0.190140770010424,0.986468495073951
8,8,1,MED,raxml,40,0.5,0.01,31112,91_0_0,INT,REF,0.132211505656305,0.119539806133093,0.0552072141421919,0.0352569365653993,85.469387755102,23.0987142417341,-12.6050208072976,-11.787368985394,0.318214863799828,0.306,0.7891334548101,0.814,NA,72,0.0569973732067084,0.167453090022463,-21.0342831376751,-0.116251869747306,-0.187185213999899,0.25103886777533
9,9,1,MED,raxml,40,0.5,0.02,21721,91_0_0,INT,REF,0.143755137066941,0.210555624519991,0.0694914374748831,0.0438702692926081,86.3877551020408,21.2833765309446,-12.5203396024713,-11.5829426796035,0.297525971726155,0.311,0.661059361020696,0.815,NA,68,0.0567191413018853,0.159663300817755,-20.7184949912182,-0.169451877936751,-0.256148187578809,0.175264053964642
10,10,1,MED,raxml,40,0.5,0.03,18131,91_0_0,INT,REF,0.160757193869903,0.219424348068212,0.0779451081751453,0.0493072503329905,86.7040816326531,21.6267346881497,-12.4831242995347,-11.4679018727021,0.296540786389314,0.32,0.673866770399636,0.82,NA,66,0.0565349596184108,0.156505244005666,-15.5761645713195,-0.167481507263067,-0.246296334210393,0.146296789394269
