sim ils_level int taxa_ref avg_dist
1 LONG INT 15_0_0 0.0202865
1 LONG EXT 0_0_0 0.188717
2 LONG INT 7_0_0 0.0194404
2 LONG EXT 0_0_0 0.18445
3 LONG INT 45_0_0 0.0180462
4 LONG INT 33_0_0 0.0216981
3 LONG EXT 0_0_0 0.172752
4 LONG EXT 0_0_0 0.197196
5 LONG INT 34_0_0 0.0222654
5 LONG EXT 0_0_0 0.211906
1 MED INT 6_0_0 0.0245365
2 MED EXT 0_0_0 0.35799
1 MED EXT 0_0_0 0.340669
2 MED INT 2_0_0 0.0245519
3 MED EXT 0_0_0 0.356031
3 MED INT 46_0_0 0.0302
4 MED INT 41_0_0 0.0206077
4 MED EXT 0_0_0 0.34354
5 MED EXT 0_0_0 0.329119
5 MED INT 29_0_0 0.0252096
1 SHORT INT 30_0_0 0.0224154
1 SHORT EXT 0_0_0 0.224667
3 SHORT EXT 0_0_0 0.220069
2 SHORT EXT 0_0_0 0.237002
2 SHORT INT 15_0_0 0.01895
3 SHORT INT 20_0_0 0.0255904
4 SHORT EXT 0_0_0 0.212996
4 SHORT INT 6_0_0 0.0227692
5 SHORT INT 35_0_0 0.0294423
5 SHORT EXT 0_0_0 0.25836
6 LONG INT 26_0_0 0.0234904
6 LONG EXT 0_0_0 0.288965
7 LONG EXT 0_0_0 0.272246
7 LONG INT 31_0_0 0.0242212
8 LONG EXT 0_0_0 0.329329
8 LONG INT 47_0_0 0.0287942
9 LONG EXT 0_0_0 0.270356
9 LONG INT 39_0_0 0.0230942
10 LONG INT 13_0_0 0.0221769
10 LONG EXT 0_0_0 0.297679
11 LONG INT 9_0_0 0.0488269
12 LONG INT 15_0_0 0.0365846
11 LONG EXT 0_0_0 0.57835
13 LONG INT 48_0_0 0.0462269
14 LONG INT 10_0_0 0.0405942
12 LONG EXT 0_0_0 0.575592
15 LONG INT 28_0_0 0.0425635
13 LONG EXT 0_0_0 0.608633
14 LONG EXT 0_0_0 0.569154
15 LONG EXT 0_0_0 0.626471
11 MED INT 22_0_0 0.0359923
12 MED INT 32_0_0 0.0608481
13 MED INT 50_0_0 0.0410538
11 MED EXT 0_0_0 0.670525
12 MED EXT 0_0_0 0.653721
13 MED EXT 0_0_0 0.679277
14 MED INT 34_0_0 0.0522038
15 MED INT 9_0_0 0.0638538
14 MED EXT 0_0_0 0.653317
15 MED EXT 0_0_0 0.644135
11 SHORT INT 9_0_0 0.0615846
12 SHORT INT 34_0_0 0.0484519
11 SHORT EXT 0_0_0 0.523204
14 SHORT INT 6_0_0 0.0497058
13 SHORT INT 6_0_0 0.0518673
12 SHORT EXT 0_0_0 0.492927
15 SHORT INT 1_0_0 0.0523808
14 SHORT EXT 0_0_0 0.519948
13 SHORT EXT 0_0_0 0.508046
15 SHORT EXT 0_0_0 0.482544
16 SHORT INT 11_0_0 0.0364154
16 SHORT EXT 0_0_0 0.375392
17 SHORT EXT 0_0_0 0.330525
17 SHORT INT 35_0_0 0.0397923
18 SHORT INT 25_0_0 0.0417308
18 SHORT EXT 0_0_0 0.302315
16 MED INT 24_0_0 0.0364173
16 MED EXT 0_0_0 0.331944
17 MED INT 37_0_0 0.0359077
17 MED EXT 0_0_0 0.406854
18 MED INT 43_0_0 0.0353962
18 MED EXT 0_0_0 0.325075
16 LONG INT 31_0_0 0.0426519
16 LONG EXT 0_0_0 0.404621
17 LONG INT 49_0_0 0.0408423
17 LONG EXT 0_0_0 0.430421
18 LONG INT 16_0_0 0.0454596
18 LONG EXT 0_0_0 0.478858
