,tree.num,simulation,method,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,tree,snps
1,1,5,raxml,40,0.75,1,EXT,REF,5.24031050415364e-05,0.0471297383685543,0.00634414750524296,0.00990553539938833,85.8333333333333,20.9714429269833,-2.24362618342914,2.54866652163188,0.488725205798011,0.554371716450253,0.878607111546987,1.12005714139949,s5_q40_miss0.75_mac1.REF.cichlids.EXT.noInv,10090
2,2,4,raxml,40,0.25,0,EXT,REF,1.00000050002909e-06,0.0501145285924481,0.00822904753065772,0.0183034218533682,92.1875,15.1104532649534,-0.494341990128102,2.6140612929378,0.351442844618795,0.489317892581091,0.818202872628131,1.05500331753033,s4_q40_miss0.25_mac0.REF.cichlids.EXT.noInv,50807
3,3,2,raxml,40,0.25,0,EXT,REF,1.00000050002909e-06,0.0395135194941456,0.00734027790944098,0.0269232129795045,96.1666666666667,10.549444541863,0.204472006451141,1.5953855453172,0.255345191793343,0.540229580826522,0.551875091940451,1.10025815152627,s2_q40_miss0.25_mac0.REF.cichlids.EXT.noInv,96038
4,4,7,raxml,40,0.25,0,EXT,REF,1.00000050002909e-06,0.0544456451809225,0.00708732821659258,0.0154910516299822,91.9166666666667,16.8306120965965,-0.477367826271149,3.27418180059893,0.291038605699939,0.429920922961421,0.647972744765902,1.04651803615609,s7_q40_miss0.25_mac0.REF.cichlids.EXT.noInv,62641
5,5,6,raxml,40,0.25,0,EXT,REF,1.00000050002909e-06,0.281952182445836,0.00837780036962924,0.0281737114878413,95.9583333333333,12.4044575607274,1.73890999704023,2.7868275234696,0.293784252923524,0.503460028204822,0.634244508647981,1.09177287015203,s6_q40_miss0.25_mac0.REF.cichlids.EXT.noInv,75392
6,6,5,raxml,40,0,1,EXT,REF,1.79744178601136,1.00000050002909e-06,0.0343665946791566,0.181037143470935,90.2916666666667,19.6576641253545,1.83692678543732,5.13563260852144,0.211414836215994,1.1511698397717,0.414592730761234,1.61503188823007,s5_q40_miss0_mac1.REF.cichlids.EXT.noInv,178869
7,7,2,raxml,40,0.9,1,INT,REF,1.00000050002909e-06,0.00697457957156727,0.00433465974196205,0.0175166378884724,82.0833333333333,21.3130998906859,-9.86099709989464,1.57425743183665,0.274564722358433,0.596798123321446,0.604042389188553,1.19076781951815,s2_q40_miss0.90_mac1.REF.cichlids.INT.noInv,2790
8,8,9,raxml,40,0.25,0,EXT,REF,1.00000050002909e-06,0.0478961897115353,0.0065599186391044,0.0153815651174377,98.0208333333333,7.61155220374626,0.296039791407273,3.27899115033678,0.370662375183885,0.466690475583121,0.782509458721535,1.05500331753033,s9_q40_miss0.25_mac0.REF.cichlids.EXT.noInv,59092
9,9,4,raxml,40,0,0,EXT,REF,0.0168051774065737,0.000810325373431489,0.0162486719091,0.077737812561906,87.5208333333333,19.6944636170453,-10.8368174110609,8.29001164523957,0.211414836215994,0.780645886429948,0.485979558574427,1.30673333163274,s4_q40_miss0_mac0.REF.cichlids.EXT.noInv,124053
10,10,10,raxml,40,0.25,0,EXT,REF,1.00000050002909e-06,1.00000050002909e-06,0.00698428401551894,0.0119615544696597,91.8125,15.0328098617799,4.12150492376667,3.93777430856572,0.455777439114999,0.602454977570938,1.02138076717337,1.17945411101916,s10_q40_miss0.25_mac0.REF.cichlids.EXT.noInv,34301
11,11,4,raxml,40,0.5,0,EXT,REF,1.00000050002909e-06,0.0445525102280945,0.00785132374809781,0.0176205237724302,91.9583333333333,15.1333903520031,-0.661618232254575,2.31748376759451,0.34869719739521,0.489317892581091,0.80447463651021,1.05500331753033,s4_q40_miss0.50_mac0.REF.cichlids.EXT.noInv,46021
12,12,5,raxml,40,0.75,2,EXT,REF,5.241511617305e-05,0.047144127645525,0.00634484411610622,0.00990477572179535,86.1458333333333,19.7376296657601,-2.11904791485132,2.76842361810284,0.488725205798011,0.554371716450253,0.878607111546987,1.12005714139949,s5_q40_miss0.75_mac2.REF.cichlids.EXT.noInv,10088
13,13,8,raxml,40,0.25,0,EXT,REF,1.00000050002909e-06,0.059523893576504,0.00799297489000568,0.017594217187898,93.1875,16.6728933404021,-0.706060716057556,2.42193303913393,0.302021194594277,0.427092495836675,0.702885689237589,1.02106219203337,s8_q40_miss0.25_mac0.REF.cichlids.EXT.noInv,72935
14,14,4,raxml,40,0.9,0,EXT,REF,1.00000050002909e-06,0.0257097015762983,0.00612339315969074,0.0152337651736378,83.5208333333333,25.3444270455953,1.49418502652576,2.11409888610668,0.332223314053704,0.469518902707868,0.80447463651021,1.04651803615609,s4_q40_miss0.90_mac0.REF.cichlids.EXT.noInv,16252
15,15,5,raxml,40,0,2,EXT,REF,1.79744178601136,1.00000050002909e-06,0.0343665946791566,0.181037143470935,90.2916666666667,19.6576641253545,1.83692678543732,5.13563260852144,0.211414836215994,1.1511698397717,0.414592730761234,1.61503188823007,s5_q40_miss0_mac2.REF.cichlids.EXT.noInv,178869
16,16,4,raxml,40,0.75,0,EXT,REF,1.00000050002909e-06,0.0394455392502787,0.0072660024199004,0.0166570811166738,89.9375,16.384224703932,-0.84924977120671,2.09785808990395,0.343205902948042,0.480832611206852,0.809965930957378,1.05217489040558,s4_q40_miss0.75_mac0.REF.cichlids.EXT.noInv,34035
17,17,7,raxml,40,0.5,0,EXT,REF,1.00000050002909e-06,0.0439440216796549,0.00672951725866581,0.0148694491745228,91,18.8126259096656,-0.821822520863481,3.36711477479017,0.280056016805602,0.418607214462436,0.636990155871565,1.03520432765711,s7_q40_miss0.50_mac0.REF.cichlids.EXT.noInv,56031
18,18,10,raxml,40,0.5,0,EXT,REF,1.00000050002909e-06,1.00000050002909e-06,0.00670415594582394,0.0113078491837679,91.8333333333333,14.9955076015102,4.03250276750448,3.92268268277205,0.378899316854638,0.602454977570938,0.763289928156445,1.17945411101916,s10_q40_miss0.50_mac0.REF.cichlids.EXT.noInv,29825
19,19,10,raxml,40,0,0,EXT,REF,1.63732002435394,1.00000050002909e-06,0.032947070358116,0.166181858107983,89.4583333333333,17.440425445393,3.99049194261736,4.62565111691183,0.34869719739521,1.03803275478185,0.656209686436656,1.5245222202382,s10_q40_miss0_mac0.REF.cichlids.EXT.noInv,95343
20,20,9,raxml,40,0.5,0,EXT,REF,1.00000050002909e-06,0.0382809594343288,0.0062012935487443,0.0147228622956643,96.5416666666667,10.6750022837874,-0.737729175584992,3.1692367839935,0.370662375183885,0.466690475583121,0.782509458721535,1.05500331753033,s9_q40_miss0.50_mac0.REF.cichlids.EXT.noInv,51785
21,21,10,raxml,40,0.9,0,EXT,REF,1.00000050002909e-06,0.0329111400572871,0.00532856435103897,0.00884554850867095,82.5,23.1828990531952,2.13497978104298,3.64168596927898,0.395373200196144,0.95035151391472,0.702885689237589,1.44249783362056,s10_q40_miss0.90_mac0.REF.cichlids.EXT.noInv,4287
22,22,6,raxml,40,0.5,0,EXT,REF,1.00000050002909e-06,0.259953528621903,0.00789219954959939,0.0261311989732165,96.0625,13.4249787035768,2.09330402506547,2.71502263788358,0.302021194594277,0.503460028204822,0.65895533366024,1.09177287015203,s6_q40_miss0.50_mac0.REF.cichlids.EXT.noInv,67894
23,23,6,raxml,40,0,0,EXT,REF,1.00000050002909e-06,0.00388216687881504,0.0192892934877048,0.121757269529489,95.0833333333333,13.7899644875314,-10.9785051737346,9.0961407339079,0.598551094741385,0.964493649538451,1.04334594496205,1.46795367774327,s6_q40_miss0_mac0.REF.cichlids.EXT.noInv,190528
24,24,4,raxml,40,0.25,0,INT,REF,1.00000050002909e-06,0.0129782672014128,0.00953687225121453,0.0256906565064269,29.2708333333333,27.0804472002841,-2.71916274648129,7.13205859856489,0.516181678033855,1.34633131137919,0.845659344863975,1.81019335983756,s4_q40_miss0.25_mac0.REF.cichlids.INT.noInv,137
25,25,4,raxml,40,0,0,INT,REF,1.00000050002909e-06,0.0348089345794171,0.0157081388324528,0.0735907171449147,23.8125,25.9898967686013,-2.89939279361559,-0.222296390619157,0.238871308451837,1.34633131137919,0.442049202997078,1.79887965133858,s4_q40_miss0_mac0.REF.cichlids.INT.noInv,309
