,tree.num,simulation,method,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin
1,1,10,raxml,40,0.25,0,EXT,REF,1.00000050002909e-06,0.0490142972491989,0.00674748112469093,0.0145264509563102,NA,NA,-0.564854019346328,3.24498666149341,0.373408022407469,0.435577777210913,0.807220283733794,1.0408611819066
2,2,10,raxml,40,0.25,10,EXT,REF,1.00000050002909e-06,0.0453394181733527,0.0291565739863983,0.0431744833880282,NA,NA,-0.577844300012736,6.20544900893055,0.480488264127258,0.681650937063832,0.897826642112077,1.26996377901104
3,3,10,raxml,40,0.25,1,EXT,REF,1.00000050002909e-06,0.0490142972491989,0.00674748112469093,0.0145264509563102,NA,NA,-0.564854019346328,3.24498666149341,0.373408022407469,0.435577777210913,0.807220283733794,1.0408611819066
4,4,10,raxml,40,0.25,2,EXT,REF,1.00000050002909e-06,0.0490142972491989,0.00674748112469093,0.0145264509563102,NA,NA,-0.564854019346328,3.24498666149341,0.373408022407469,0.435577777210913,0.807220283733794,1.0408611819066
5,5,10,raxml,40,0.25,3,EXT,REF,1.00000050002909e-06,0.0363408524995432,0.00972618902658678,0.0131062916412627,NA,NA,-1.68806386787882,4.29311360686657,0.373408022407469,0.435577777210913,0.807220283733794,1.0408611819066
6,6,10,raxml,40,0.25,4,EXT,REF,1.00000050002909e-06,0.021559727995418,0.0110434288281151,0.0151784953721834,NA,NA,0.567540103623725,5.09558665087994,0.376153669631054,0.574170706323477,0.80447463651021,1.17379725676967
7,7,10,raxml,40,0.25,5,EXT,REF,1.00000050002909e-06,0.0390517585015243,0.0190149179047834,0.0248992372293997,NA,NA,-0.107207139300637,5.29134123765366,0.376153669631054,0.574170706323477,0.80447463651021,1.17379725676967
8,8,10,raxml,40,0.5,0,EXT,REF,1.00000050002909e-06,0.0424690439362356,0.00637145789089023,0.0139666359411597,NA,NA,-0.564242995929563,3.06048319697955,0.373408022407469,0.435577777210913,0.807220283733794,1.0408611819066
9,9,10,raxml,40,0.5,10,EXT,REF,1.00000050002909e-06,0.0413692670231771,0.0284229400916488,0.0419036937663508,NA,NA,-1.27733327803349,6.27042623060632,0.480488264127258,0.681650937063832,0.897826642112077,1.26996377901104
10,10,10,raxml,40,0.5,1,EXT,REF,1.00000050002909e-06,0.0424690439362356,0.00637145789089023,0.0139666359411597,NA,NA,-0.564242995929563,3.06048319697955,0.373408022407469,0.435577777210913,0.807220283733794,1.0408611819066
11,11,10,raxml,40,0.5,2,EXT,REF,1.00000050002909e-06,0.0424690439362356,0.00637145789089023,0.0139666359411597,NA,NA,-0.564242995929563,3.06048319697955,0.373408022407469,0.435577777210913,0.807220283733794,1.0408611819066
12,12,10,raxml,40,0.5,3,EXT,REF,1.00000050002909e-06,0.0340064031040301,0.00929150223168953,0.0126640094264094,NA,NA,-1.45965926357257,4.05815494798513,0.373408022407469,0.435577777210913,0.807220283733794,1.0408611819066
13,13,10,raxml,40,0.5,4,EXT,REF,1.00000050002909e-06,0.0219309034018541,0.0105216163956233,0.0145482835426459,NA,NA,0.911935588185147,4.63970576868364,0.378899316854638,0.576999133448223,0.807220283733794,1.17662568389442
